song name,genre,zero crossing rate,spectral bandwidth,spectral centroid,chroma,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,mfcc20
Nujabes - Lady Brown.mp3,westcoastrap,0.034657430305755396,2397.2355956279607,1816.8603816364725,0.45016623049956883,-110.26692139475176,173.91690043942663,-18.805284234430943,44.75020060648455,-7.843929778985324,18.34300240355376,-4.241759423778645,1.5698382179596557,0.9520268816983326,-3.011675822503943,-2.5047415795560206,-3.797841917437802,1.289868404596331,-5.682910487963115,5.101284558752037,-2.086867442476931,-0.10593746683071467,-0.5794382695645542,2.2420242823114678,-1.8316801946413195
Ice Cube - You Know How We Do It (Official Video).mp3,westcoastrap,0.030560404138212212,2782.79212135058,2014.4506626920302,0.5241663013749309,-322.54274942654706,147.34854994748775,-5.680097464282035,58.47864808079302,-1.4775498416867532,29.54925618767804,4.749350686543417,14.950571317297841,2.769523892382534,1.6265051132530493,6.455941125883652,-0.7529577028277743,8.230199440605743,-4.318389575503292,4.444524161730896,-2.934896866378976,2.123696687725352,0.4001548620494078,0.23529406436157493,0.2949180315379772
Xzibit - X.mp3,westcoastrap,0.07977160628087113,3113.113782378017,3130.7516114373802,0.5355012827679994,-122.02545464767972,127.8302440394553,-40.27083551508502,61.67744576534312,-13.695429805410349,28.684741720635632,-10.626188459244146,3.226208243905027,6.121575260649003,-6.975539112316657,8.45166083334714,-9.314848387995992,9.863943416221694,-4.956164346838899,4.202472836585952,0.7837615641873794,-1.0471368324789199,3.939887596457956,-4.233821621220769,5.144096109168479
"WC - The Streets ft. Snoop Dogg, Nate Dogg.mp3",westcoastrap,0.06219981768932944,2923.0794583257634,2717.4225912376664,0.4852831591132705,-243.67395865347333,139.66627257284094,-14.47351101864139,38.206235894786566,-11.027343922452316,15.021433900833003,-7.194253716943713,7.8712520526286385,-2.7421635295731646,4.7919881104447795,-2.3254713622486705,0.2845592279933044,3.8583264838310614,-1.532213707474906,6.568639389809992,0.6069560095405008,3.9141806511254287,-1.88328825499927,6.441154387692724,-3.305070681947678
2Pac - Skandalouz.mp3,westcoastrap,0.08252426036622276,3412.8531435439654,3407.830752633329,0.5327405565544254,-131.29886685432808,112.6820630360173,-25.582205256587336,64.5806422397568,-10.20816537741218,30.599450953945716,-3.3708063943204407,12.162912549314475,-2.8056090605224804,5.6673616637232165,-0.8424369335672401,-0.3914302164412386,1.415046482509796,-1.1357167557782963,9.655490100500277,2.4399384716714234,4.47250798806662,-0.446786158606907,7.147817032981652,-3.1445042971516677
Snoop Dogg - Midnight Love.mp3,westcoastrap,0.04365249663297725,3470.4132288182973,2671.6750093370224,0.648065913299681,-200.41206452485454,124.88798780529171,10.717911608636483,52.63808692433555,0.04689517680540783,33.769996771515835,-1.5701104845895586,20.420824958902465,3.179367692966127,10.105683999949209,5.009895731840991,3.002399136375109,2.7245043878895197,-2.410953496518033,8.570963851341531,-1.3808388390302095,8.32411280191765,2.498460159821701,8.23898384484893,-0.5003474745492306
"Dr. Dre - Forgot About Dre ft. Eminem, Hittman.mp3",westcoastrap,0.08924295097444983,3358.6517995879167,3535.5014512261605,0.5209590293915441,-262.5182726632391,115.00324384138901,-26.990165874256483,51.03528539663114,-6.067018653790108,32.60941824509431,-9.638661300336619,13.939321268403875,-3.2191726582954523,3.4532404784619044,2.729814892689351,1.3402390340895598,2.6597562576010794,-0.9091688255131541,5.364169690681975,-3.9486087502488414,4.412578180483171,-3.110268201080241,4.906345956048585,-2.6856200741648504
Kurupt - We Can Freak It.mp3,westcoastrap,0.030377630780531427,2400.2104863738964,1624.4133682940783,0.4937565880510331,-282.4563957288733,162.5068362625927,-4.319740014716169,33.692462781887194,13.476503821241508,20.18223046600019,0.8426147142564947,6.497932843630149,1.6614783634254449,4.46596032280241,0.005487071926065404,-0.9768108664958586,1.5848387137527693,-2.155738434512712,-0.5999229018613919,-2.9564101496924238,0.28387751710307874,-2.872938247739836,3.9675103011921897,-3.7919920814388495
Cyne - Midas.mp3,westcoastrap,0.05775733222984606,3317.999255752308,2860.4844231304246,0.5401422039048507,-113.6534936254432,127.86253972046315,-18.14329739115098,50.52468527261534,-2.909385728032648,37.65772870811162,-3.775671335875341,16.67519330026516,-3.5951837889690323,9.64080254888164,-2.3922751605436754,2.5649063997788293,3.6297933401710907,1.3674085028621579,11.227637902371388,-7.92680193406746,2.8484262143829073,-1.9427413724483487,9.311928735483026,-3.965064125420457
The Dogg Pound - I Don't Like to dream About Getting Paid.mp3,westcoastrap,0.07403437212246777,2997.4430681323297,2930.831874408762,0.4889970312345132,-131.93831324361665,139.65571287407994,-28.77692447578033,63.9369314589446,-13.13815483967777,27.66889333303649,-5.631594126347982,-5.891233386263754,8.52944715761145,-13.40335825970641,10.38284460650928,-11.651993954960822,4.683302620013557,-2.465844192811645,-2.037136531737244,8.051114103787588,-6.917075388979523,5.7254425484517,-4.16652233937227,2.3069761113961635
Cypress Hill - Lowrider (Official Music Video).mp3,westcoastrap,0.07042567533774242,3008.5537260421097,2985.557679405925,0.5306887040253363,-214.07978653655405,121.48072107752034,-36.73964963127786,50.125457422325425,-6.869492968990767,29.742947621596905,-0.1247298802235798,9.777834307650407,5.253766867756078,2.4905214181977615,1.8096009216285027,-1.6691715706173913,5.152837342416411,-0.8182979349352028,7.3898660449667615,-0.5069494758342022,4.262632473411793,0.31748783858394497,1.2444342762478207,-4.3546384779087415
